2024-09-26 07:47:07.707859 
Vàng 416 (10K), 3,311, 3,451 
Vàng PNJ - Phượng Hoàng, 8,190, 8,295 
Vàng 916 (22K), 7,526, 7,576 
Vàng 650 (15.6K), 5,244, 5,384 
Vàng 680 (16.3K), 5,492, 5,632 
Vàng 610 (14.6K), 4,914, 5,054 
Vàng 375 (9K), 2,973, 3,113 
Vàng 333 (8K), 2,601, 2,741 
2024-09-26 08:30:48.340328 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,190, 8,295 
Vàng Kim Bảo 999.9, 8,190, 8,295 
Vàng Phúc Lộc Tài 999.9, 8,190, 8,295 
Vàng nữ trang 999.9, 8,180, 8,260 
Vàng nữ trang 999, 8,172, 8,252 
Vàng nữ trang 99, 8,087, 8,187 
Vàng 750 (18K), 6,070, 6,210 
Vàng 585 (14K), 4,707, 4,847 
Vàng 416 (10K), 3,311, 3,451 
Vàng PNJ - Phượng Hoàng, 8,190, 8,295 
Vàng 916 (22K), 7,526, 7,576 
Vàng 650 (15.6K), 5,244, 5,384 
Vàng 680 (16.3K), 5,492, 5,632 
Vàng 610 (14.6K), 4,914, 5,054 
Vàng 375 (9K), 2,973, 3,113 
Vàng 333 (8K), 2,601, 2,741 
2024-09-26 09:16:05.708742 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,190, 8,295 
Vàng Kim Bảo 999.9, 8,190, 8,295 
Vàng Phúc Lộc Tài 999.9, 8,190, 8,295 
Vàng nữ trang 999.9, 8,180, 8,260 
Vàng nữ trang 999, 8,172, 8,252 
Vàng nữ trang 99, 8,087, 8,187 
Vàng 750 (18K), 6,070, 6,210 
Vàng 585 (14K), 4,707, 4,847 
Vàng 416 (10K), 3,311, 3,451 
Vàng PNJ - Phượng Hoàng, 8,190, 8,295 
Vàng 916 (22K), 7,526, 7,576 
Vàng 650 (15.6K), 5,244, 5,384 
Vàng 680 (16.3K), 5,492, 5,632 
Vàng 610 (14.6K), 4,914, 5,054 
Vàng 375 (9K), 2,973, 3,113 
Vàng 333 (8K), 2,601, 2,741 
2024-09-27 19:02:58.925468 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-27 19:09:50.739375 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-27 19:16:09.514351 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-27 19:16:57.126947 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-27 19:17:43.415065 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-27 19:19:32.902553 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-27 19:38:10.935769 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-28 13:49:38.158698 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-28 19:39:02.435767 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-30 11:33:51.083275 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-09-30 19:38:37.207045 
Vàng miếng SJC 999.9, 8,150, 8,350 
Nhẫn Trơn PNJ 999.9, 8,250, 8,330 
Vàng Kim Bảo 999.9, 8,250, 8,330 
Vàng Phúc Lộc Tài 999.9, 8,250, 8,330 
Vàng nữ trang 999.9, 8,240, 8,320 
Vàng nữ trang 999, 8,232, 8,312 
Vàng nữ trang 99, 8,147, 8,247 
Vàng 750 (18K), 6,115, 6,255 
Vàng 585 (14K), 4,742, 4,882 
Vàng 416 (10K), 3,336, 3,476 
Vàng PNJ - Phượng Hoàng, 8,250, 8,330 
Vàng 916 (22K), 7,581, 7,631 
Vàng 650 (15.6K), 5,283, 5,423 
Vàng 680 (16.3K), 5,533, 5,673 
Vàng 610 (14.6K), 4,950, 5,090 
Vàng 375 (9K), 2,995, 3,135 
Vàng 333 (8K), 2,621, 2,761 
2024-10-01 08:45:42.027714 
Vàng miếng SJC 999.9, 8,200, 8,400 
Nhẫn Trơn PNJ 999.9, 8,210, 8,320 
Vàng Kim Bảo 999.9, 8,210, 8,320 
Vàng Phúc Lộc Tài 999.9, 8,210, 8,320 
Vàng nữ trang 999.9, 8,200, 8,280 
Vàng nữ trang 999, 8,192, 8,272 
Vàng nữ trang 99, 8,107, 8,207 
Vàng 750 (18K), 6,085, 6,225 
Vàng 585 (14K), 4,719, 4,859 
Vàng 416 (10K), 3,320, 3,460 
Vàng PNJ - Phượng Hoàng, 8,210, 8,320 
Vàng 916 (22K), 7,545, 7,595 
Vàng 650 (15.6K), 5,257, 5,397 
Vàng 680 (16.3K), 5,505, 5,645 
Vàng 610 (14.6K), 4,926, 5,066 
Vàng 375 (9K), 2,980, 3,120 
Vàng 333 (8K), 2,607, 2,747 
2024-10-01 19:39:01.152385 
Vàng miếng SJC 999.9, 8,200, 8,400 
Nhẫn Trơn PNJ 999.9, 8,200, 8,290 
Vàng Kim Bảo 999.9, 8,200, 8,290 
Vàng Phúc Lộc Tài 999.9, 8,200, 8,290 
Vàng nữ trang 999.9, 8,190, 8,270 
Vàng nữ trang 999, 8,182, 8,262 
Vàng nữ trang 99, 8,097, 8,197 
Vàng 750 (18K), 6,078, 6,218 
Vàng 585 (14K), 4,713, 4,853 
Vàng 416 (10K), 3,315, 3,455 
Vàng PNJ - Phượng Hoàng, 8,200, 8,290 
Vàng 916 (22K), 7,535, 7,585 
Vàng 650 (15.6K), 5,251, 5,391 
Vàng 680 (16.3K), 5,499, 5,639 
Vàng 610 (14.6K), 4,920, 5,060 
Vàng 375 (9K), 2,976, 3,116 
Vàng 333 (8K), 2,604, 2,744 
2024-10-01 21:24:44.929702 
Vàng miếng SJC 999.9, 8,200, 8,400 
Nhẫn Trơn PNJ 999.9, 8,200, 8,290 
Vàng Kim Bảo 999.9, 8,200, 8,290 
Vàng Phúc Lộc Tài 999.9, 8,200, 8,290 
Vàng nữ trang 999.9, 8,190, 8,270 
Vàng nữ trang 999, 8,182, 8,262 
Vàng nữ trang 99, 8,097, 8,197 
Vàng 750 (18K), 6,078, 6,218 
Vàng 585 (14K), 4,713, 4,853 
Vàng 416 (10K), 3,315, 3,455 
Vàng PNJ - Phượng Hoàng, 8,200, 8,290 
Vàng 916 (22K), 7,535, 7,585 
Vàng 650 (15.6K), 5,251, 5,391 
Vàng 680 (16.3K), 5,499, 5,639 
Vàng 610 (14.6K), 4,920, 5,060 
Vàng 375 (9K), 2,976, 3,116 
Vàng 333 (8K), 2,604, 2,744 
